campaign_id,campaign_name,platform,date,impressions,clicks,conversions,spend,revenue
ggl_brand_001,Google - Brand Search,google,2025-04-01,2688,289,32,165.0,4331.75
ggl_brand_001,Google - Brand Search,google,2025-04-02,2353,286,28,165.0,4020.86
ggl_brand_001,Google - Brand Search,google,2025-04-03,2949,382,44,165.0,6754.28
ggl_brand_001,Google - Brand Search,google,2025-04-04,2685,335,38,165.0,5685.77
ggl_brand_001,Google - Brand Search,google,2025-04-05,2225,249,24,165.0,3522.9
ggl_brand_001,Google - Brand Search,google,2025-04-06,2075,263,28,165.0,4290.47
ggl_brand_001,Google - Brand Search,google,2025-04-07,2945,341,30,165.0,4638.6
ggl_brand_001,Google - Brand Search,google,2025-04-08,2882,344,30,165.0,4646.38
ggl_brand_001,Google - Brand Search,google,2025-04-09,2803,357,37,165.0,5582.38
ggl_brand_001,Google - Brand Search,google,2025-04-10,2823,371,41,165.0,6170.78
ggl_brand_001,Google - Brand Search,google,2025-04-11,2970,382,36,165.0,5273.0
ggl_brand_001,Google - Brand Search,google,2025-04-12,2158,254,22,165.0,3459.77
ggl_brand_001,Google - Brand Search,google,2025-04-13,1860,218,24,165.0,3728.02
ggl_brand_001,Google - Brand Search,google,2025-04-14,2693,315,36,165.0,5348.35
ggl_brand_001,Google - Brand Search,google,2025-04-15,2390,257,28,165.0,4229.91
ggl_brand_001,Google - Brand Search,google,2025-04-16,2811,327,36,165.0,5316.48
ggl_brand_001,Google - Brand Search,google,2025-04-17,2896,329,31,165.0,4371.97
ggl_brand_001,Google - Brand Search,google,2025-04-18,3037,353,38,165.0,5827.26
ggl_brand_001,Google - Brand Search,google,2025-04-19,2412,291,29,165.0,3983.0
ggl_brand_001,Google - Brand Search,google,2025-04-20,1914,203,21,134.03,3007.39
ggl_brand_001,Google - Brand Search,google,2025-04-21,2472,341,38,165.0,5433.92
ggl_brand_001,Google - Brand Search,google,2025-04-22,2636,292,33,165.0,4522.49
ggl_brand_001,Google - Brand Search,google,2025-04-23,2775,348,27,165.0,4064.61
ggl_brand_001,Google - Brand Search,google,2025-04-24,2694,338,42,165.0,6224.6
ggl_brand_001,Google - Brand Search,google,2025-04-25,2702,337,41,165.0,6406.8
ggl_brand_001,Google - Brand Search,google,2025-04-26,2372,334,30,165.0,4291.52
ggl_brand_001,Google - Brand Search,google,2025-04-27,2112,224,22,165.0,3057.32
ggl_brand_001,Google - Brand Search,google,2025-04-28,2358,299,39,165.0,6702.3
ggl_brand_001,Google - Brand Search,google,2025-04-29,2787,309,33,165.0,4748.8
ggl_brand_001,Google - Brand Search,google,2025-04-30,2611,302,36,165.0,5442.4
ggl_brand_001,Google - Brand Search,google,2025-05-01,2796,309,29,165.0,4338.3
ggl_brand_001,Google - Brand Search,google,2025-05-02,3383,423,40,165.0,5644.52
ggl_brand_001,Google - Brand Search,google,2025-05-03,2142,246,22,165.0,3438.35
ggl_brand_001,Google - Brand Search,google,2025-05-04,2036,275,27,165.0,4041.75
ggl_brand_001,Google - Brand Search,google,2025-05-05,2449,317,26,165.0,3650.8
ggl_brand_001,Google - Brand Search,google,2025-05-06,2754,396,40,165.0,6085.75
ggl_brand_001,Google - Brand Search,google,2025-05-07,3003,381,46,165.0,7047.92
ggl_brand_001,Google - Brand Search,google,2025-05-08,3202,405,33,165.0,5358.6
ggl_brand_001,Google - Brand Search,google,2025-05-09,3395,415,52,165.0,7368.25
ggl_brand_001,Google - Brand Search,google,2025-05-10,2170,287,29,165.0,4314.45
ggl_brand_001,Google - Brand Search,google,2025-05-11,2269,323,36,165.0,4846.45
