campaign_id,campaign_name,platform,date,impressions,clicks,conversions,spend,revenue
meta_remarket_005,Meta - Remarketing,meta,2025-04-01,20933,327,12,141.77,2411.08
meta_remarket_005,Meta - Remarketing,meta,2025-04-02,17790,279,11,125.54,2305.68
meta_remarket_005,Meta - Remarketing,meta,2025-04-03,18600,224,8,104.11,1613.61
meta_remarket_005,Meta - Remarketing,meta,2025-04-04,22216,356,15,178.13,2960.88
meta_remarket_005,Meta - Remarketing,meta,2025-04-05,15024,243,10,125.38,1912.04
meta_remarket_005,Meta - Remarketing,meta,2025-04-06,18005,294,10,157.05,1977.35
meta_remarket_005,Meta - Remarketing,meta,2025-04-07,21322,323,13,125.86,2675.23
meta_remarket_005,Meta - Remarketing,meta,2025-04-08,21295,328,16,143.02,3055.89
meta_remarket_005,Meta - Remarketing,meta,2025-04-09,20173,305,9,151.73,1682.07
meta_remarket_005,Meta - Remarketing,meta,2025-04-10,18579,282,10,109.87,2066.14
meta_remarket_005,Meta - Remarketing,meta,2025-04-11,22037,341,15,147.94,3071.27
meta_remarket_005,Meta - Remarketing,meta,2025-04-12,17190,256,10,129.63,1860.3
meta_remarket_005,Meta - Remarketing,meta,2025-04-13,18106,245,11,128.94,2231.89
meta_remarket_005,Meta - Remarketing,meta,2025-04-14,20514,305,11,148.43,2225.91
meta_remarket_005,Meta - Remarketing,meta,2025-04-15,22779,327,10,136.27,1893.55
meta_remarket_005,Meta - Remarketing,meta,2025-04-16,18197,297,14,162.66,2572.35
meta_remarket_005,Meta - Remarketing,meta,2025-04-17,23648,411,16,174.81,2878.74
meta_remarket_005,Meta - Remarketing,meta,2025-04-18,23890,325,10,149.75,2054.29
meta_remarket_005,Meta - Remarketing,meta,2025-04-19,19825,279,7,108.42,1381.35
meta_remarket_005,Meta - Remarketing,meta,2025-04-20,16517,213,8,101.06,1513.94
meta_remarket_005,Meta - Remarketing,meta,2025-04-21,19494,330,13,159.24,2680.48
meta_remarket_005,Meta - Remarketing,meta,2025-04-22,19449,298,11,136.47,2247.9
meta_remarket_005,Meta - Remarketing,meta,2025-04-23,20122,324,7,155.46,1483.32
meta_remarket_005,Meta - Remarketing,meta,2025-04-24,17018,245,9,123.82,1668.04
meta_remarket_005,Meta - Remarketing,meta,2025-04-25,21491,364,17,126.03,3390.63
meta_remarket_005,Meta - Remarketing,meta,2025-04-26,16690,241,11,95.21,2280.57
meta_remarket_005,Meta - Remarketing,meta,2025-04-27,15043,222,10,89.55,1864.99
meta_remarket_005,Meta - Remarketing,meta,2025-04-28,23176,355,13,137.48,2495.79
meta_remarket_005,Meta - Remarketing,meta,2025-04-29,19386,301,8,115.49,1569.63
meta_remarket_005,Meta - Remarketing,meta,2025-04-30,18492,263,9,105.44,1980.09
meta_remarket_005,Meta - Remarketing,meta,2025-05-01,22762,360,13,127.47,2627.99
meta_remarket_005,Meta - Remarketing,meta,2025-05-02,21769,367,14,141.31,2717.95
meta_remarket_005,Meta - Remarketing,meta,2025-05-03,18820,272,10,118.42,1926.56
meta_remarket_005,Meta - Remarketing,meta,2025-05-04,18242,289,11,128.67,2287.62
meta_remarket_005,Meta - Remarketing,meta,2025-05-05,20289,305,15,138.97,2798.95
meta_remarket_005,Meta - Remarketing,meta,2025-05-06,23073,290,14,133.9,2868.41
meta_remarket_005,Meta - Remarketing,meta,2025-05-07,22052,323,12,145.89,2305.68
meta_remarket_005,Meta - Remarketing,meta,2025-05-08,22284,353,12,144.23,2236.77
meta_remarket_005,Meta - Remarketing,meta,2025-05-09,24620,404,19,186.85,3816.69
meta_remarket_005,Meta - Remarketing,meta,2025-05-10,19288,309,11,137.52,2443.56
meta_remarket_005,Meta - Remarketing,meta,2025-05-11,17040,248,10,117.41,1859.52
meta_remarket_005,Meta - Remarketing,meta,2025-05-12,22689,350,17,136.5,3506.36
meta_remarket_005,Meta - Remarketing,meta,2025-05-13,19668,362,15,175.78,3238.53
meta_remarket_005,Meta - Remarketing,meta,2025-05-14,22182,346,15,143.36,3071.49
meta_remarket_005,Meta - Remarketing,meta,2025-05-15,22994,331,13,151.27,2426.65
meta_remarket_005,Meta - Remarketing,meta,2025-05-16,21204,351,15,108.63,2928.29
meta_remarket_005,Meta - Remarketing,meta,2025-05-17,20798,310,12,150.54,2413.65
meta_remarket_005,Meta - Remarketing,meta,2025-05-18,18848,282,10,142.08,2029.46
meta_remarket_005,Meta - Remarketing,meta,2025-05-19,22507,377,13,208.66,2420.71
meta_remarket_005,Meta - Remarketing,meta,2025-05-20,20276,340,14,162.14,2642.79
meta_remarket_005,Meta - Remarketing,meta,2025-05-21,23402,323,19,165.56,3869.63
meta_remarket_005,Meta - Remarketing,meta,2025-05-22,24200,362,13,127.51,2457.92
meta_remarket_005,Meta - Remarketing,meta,2025-05-23,21395,395,17,183.57,3347.47
meta_remarket_005,Meta - Remarketing,meta,2025-05-24,23364,404,18,181.09,3564.72
meta_remarket_005,Meta - Remarketing,meta,2025-05-25,21784,295,11,101.24,2206.21
meta_remarket_005,Meta - Remarketing,meta,2025-05-26,23661,373,10,168.93,1908.49
meta_remarket_005,Meta - Remarketing,meta,2025-05-27,22898,376,16,145.78,3363.59
meta_remarket_005,Meta - Remarketing,meta,2025-05-28,23576,370,14,157.15,2865.49
meta_remarket_005,Meta - Remarketing,meta,2025-05-29,23639,398,18,181.93,3617.03
meta_remarket_005,Meta - Remarketing,meta,2025-05-30,25886,447,13,181.73,2800.65
meta_remarket_005,Meta - Remarketing,meta,2025-05-31,19471,256,12,105.33,2366.44
meta_remarket_005,Meta - Remarketing,meta,2025-06-01,17298,313,11,123.15,2223.25
meta_remarket_005,Meta - Remarketing,meta,2025-06-02,21903,366,16,182.71,3278.3
meta_remarket_005,Meta - Remarketing,meta,2025-06-03,21860,350,15,159.53,3115.88
meta_remarket_005,Meta - Remarketing,meta,2025-06-04,23336,374,16,151.96,3195.52
